,pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2
170,Kepler-157,b,2014,291.097225,38.875609000000004,,2454967.5302,0.00205,-0.00205,1,0.0911,3,0,1,Kepler,,,,,,,,1.04,0.2,-0.2,5774.0,125.0,-125.0,14.002,12.939,12.627,0.028,,,0.11800000000000001,0.023,-0.023,0.007240000000000001,,,,1.732342,6e-06,-6e-06,,,
171,Kepler-157,c,2014,291.097225,38.875609000000004,,2455004.6803200003,0.0021899999999999997,-0.0021899999999999997,1,0.1881,3,0,1,Kepler,,,,,,,,1.04,0.2,-0.2,5774.0,125.0,-125.0,14.002,12.939,12.627,0.11,,,0.2,0.038,-0.038,0.0178,,,,13.5405,4.9e-05,-4.9e-05,,,
172,Kepler-158,b,2014,284.032244,39.781348,,2455007.75561,0.00193,-0.00193,1,0.1152,2,0,1,Kepler,,,,,,,,0.62,0.08,-0.08,4623.0,200.0,-200.0,14.427,12.722000000000001,12.138,0.111,,,0.18899999999999997,0.032,-0.032,0.0162,,,,16.709184,6.4e-05,-6.4e-05,,,
173,Kepler-158,c,2014,284.032244,39.781348,,2455018.47678,0.00247,-0.00247,1,0.177,2,0,1,Kepler,,,,,,,,0.62,0.08,-0.08,4623.0,200.0,-200.0,14.427,12.722000000000001,12.138,0.158,,,0.17,0.027000000000000003,-0.027000000000000003,0.0134,,,,28.551383,0.00014,-0.00014,,,
205,HD 209458,b,1999,330.794891,18.884319,1.5,,,,1,,1,0,0,W. M. Keck Observatory,86.71,0.05,-0.05,,1.23,0.09,-0.09,1.19,0.02,-0.02,6091.0,10.0,-10.0,7.632000000000001,6.591,6.3660000000000005,0.04707,0.00045,-0.00047000000000000004,1.39,0.02,-0.02,0.73,0.04,-0.04,1459.0,3.52474859,3.8e-07,-3.8e-07,0.0,,
209,Kepler-77,b,2013,289.607956,44.345425,0.9849,2455095.865727,2.8999999999999997e-05,-2.8999999999999997e-05,1,0.12224000000000002,1,0,1,Kepler,88.0,0.11,-0.11,,0.95,0.04,-0.04,0.99,0.02,-0.02,5520.0,60.0,-60.0,13.937999999999999,12.758,12.444,0.04501,0.00063,-0.00063,0.96,0.016,-0.016,0.43,0.032,-0.032,1440.0,3.57878087,2.3e-07,-2.3e-07,0.0,,
210,Kepler-78,b,2013,293.74169,44.44833,0.02,,,,1,,1,0,1,Kepler,79.0,12.5,-12.5,,0.84,0.32,-0.32,0.75,0.03,-0.03,5089.0,50.0,-50.0,11.550999999999998,10.184,9.675,,,,0.1,0.01,-0.01,0.01,0.0,0.0,2250.0,0.35500744,6e-08,-6e-08,0.0,,
211,Kepler-79,b,2012,300.517131,44.38158,0.06751,2455684.307,0.002,-0.002,1,,4,0,1,Kepler,88.78,0.07,-0.09,,1.17,0.04,-0.04,1.3,0.03,-0.03,6174.0,83.0,-117.0,13.914000000000001,12.913,12.652999999999999,0.117,0.002,-0.002,0.31,0.006,-0.006,0.0343,0.023,-0.019,,13.4845,0.0002,-0.0002,0.015,0.012,-0.006
212,Kepler-79,c,2012,300.517131,44.38158,0.07899,2455706.475,0.004,-0.004,1,,4,0,1,Kepler,89.48,0.07,-0.09,,1.17,0.04,-0.04,1.3,0.03,-0.03,6174.0,83.0,-117.0,13.914000000000001,12.913,12.652999999999999,0.187,0.002,-0.003,0.332,0.006999999999999999,-0.006999999999999999,0.019,0.006,-0.0072,,27.4029,0.0008,-0.0006,0.03,0.027,-0.021
213,Kepler-79,d,2014,300.517131,44.38158,0.2968,2455721.011,0.002,-0.001,1,,4,0,1,Kepler,89.93,0.07,-0.03,,1.17,0.04,-0.04,1.3,0.03,-0.03,6174.0,83.0,-117.0,13.914000000000001,12.913,12.652999999999999,0.287,0.004,-0.004,0.639,0.012,-0.013999999999999999,0.019,0.0066,-0.005,,52.0902,0.0009,-0.001,0.025,0.059,-0.023
214,Kepler-79,e,2014,300.517131,44.38158,0.0453,2455702.126,0.003,-0.005,1,,4,0,1,Kepler,89.13,0.02,-0.02,,1.17,0.04,-0.04,1.3,0.03,-0.03,6174.0,83.0,-117.0,13.914000000000001,12.913,12.652999999999999,0.386,0.005,-0.005,0.311,0.012,-0.012,0.013,0.0038,-0.0035,,81.0659,0.0013,-0.0011,0.012,0.044,-0.005
