,0
1617,240716101
1618,240851562
1619,145964101
1620,348721899
1621,439844874
1622,240627386
1623,240627410
1624,435882001
1625,38141132
1626,49426696
1627,443614444
1628,458677771
1629,366354423
1630,284852172
1631,27650441
1632,12784454
1633,59038942
1634,12822172
1635,59003150
1636,458678179
1637,49416890
1638,49522674
1639,49544614
1640,206283481
1641,173146032
1642,69818069
1643,173102301
1644,337079785
1645,434328753
1646,434395809
1647,437901767
1648,385754394
1649,385816597
1650,385816474
1651,385909230
1652,438065397
1653,438071441
1654,438114233
1655,438167293
1656,438168340
1657,438206804
1658,438310174
1659,438320776
1660,438338203
1661,438367957
1662,306608860
1663,306903755
1664,59613604
1665,307250953
1666,307373482
1667,307582142
1668,445955879
1669,49544647
1670,188585537
1671,27650615
1672,173109008
1673,9054407
1674,188572048
1675,415335428
1676,414163052
1677,458681864
1678,38158183
1679,69854813
1680,111751138
1681,348662671
1682,396743014
1683,414219514
1684,49417177
1685,434234531
1686,37695988
1687,146165718
1688,12822186
1689,366443876
1690,146799119
1691,468992514
1692,350475021
1693,366398963
1694,439852796
1695,366410827
1696,173102170
1697,173163058
1698,188569952
1699,386588868
1700,60255938
1701,7024722
1702,425465582
1703,240813075
1704,186812891
1705,49456039
1706,146163861
1707,435910563
1708,386589129
1709,12822217
1710,173145103
1711,389046520
1712,27630494
1713,49504380
1714,243011874
1715,408816761
1716,366526294
1717,443583089
1718,173107409
1719,59002159
1720,366444696
1721,458677161
1722,301033509
1723,38085649
1724,68328847
1725,398376582
1726,188569720
1727,366400069
1728,173163045
1729,49419498
1730,240851592
1731,443965618
1732,38160708
1733,444009508
1734,82049677
1735,242985028
1736,173109596
1737,49522810
1738,414064577
1739,49426967
1740,49462672
1741,49464570
1742,434230620
1743,205371238
1744,49455899
1745,468988954
1746,67985462
1747,173162951
1748,366528375
1749,240849800
1750,38158214
1751,366631129
1752,145750665
1753,82052224
1754,173103821
1755,439844872
1756,27636741
1757,366623688
1758,12784570
1759,434131837
1760,458685946
1761,38115431
1762,173104404
1763,144145607
1764,145750633
1765,435905844
1766,12769921
1767,173108755
1768,82055097
1769,291090209
1770,173098832
1771,49522934
1772,173165426
1773,240849806
1774,389015865
1775,82054880
1776,291075017
1777,435332912
1778,37664834
1779,336994812
1780,337079557
1781,434332298
1782,434391945
1783,437900761
1784,385753607
1785,385817026
1786,385983404
1787,438108632
1788,438118505
1789,438194796
1790,438231406
1791,438336319
1792,438337131
1793,438427851
1794,306606330
1795,307128057
1796,307584971
1797,438490776
1798,155363160
1799,38143567
1800,38115712
1801,434239133
1802,366622554
1803,366409871
1804,398667927
1805,38161023
1806,240625745
1807,443970307
1808,434233275
1809,38141983
1810,10002359572
1811,240766690
1812,350475028
1813,434135735
1814,173102174
1815,173163092
1816,82052270
1817,38141831
1818,173163027
1819,456864923
1820,366569070
1821,350448326
1822,366444220
1823,242964530
1824,240663818
1825,366355306
1826,443969767
1827,27630180
1828,240662581
1829,38065783
1830,82049796
1831,38139182
