EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_dist,k2_teff,k2_logg,k2_metfe,k2_rad,k2_mass
202063042,99.48608,17.09179,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202063066,96.75237,14.77925,9.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202063090,98.19398,16.66668,9.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202063120,98.90876,14.98496,9.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202063160,96.69499,16.45886,9.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202063217,95.65828,15.56558,9.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202063357,102.73204,15.79911,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202063421,98.05748,16.85567,9.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202071294,96.76818,15.89504,9.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202071951,102.04904,16.97064,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202071955,100.37762,16.76403,9.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202071979,100.123,16.30145,9.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202071993,97.2244,16.34302,9.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202087841,93.53045,16.6246,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202089871,101.2231,16.70701,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202090045,101.22777,16.44383,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202090754,95.36006,17.1016,9.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202091495,95.37265,17.04673,9.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202091505,92.38348,16.97312,9.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202091583,97.17289,16.17132,9.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
202091594,98.80056,16.05862,9.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA
