EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_dist,k2_teff,k2_logg,k2_metfe,k2_rad,k2_mass
212306203,205.135437,-17.343727,8.781,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,STAR,1,1,NA,6426,4.32,-0.077,1.26,1.24
212340257,203.54483,-16.389065,8.676,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,STAR,1,1,NA,6515,3.97,0.012,2.02,1.49
212351048,201.669083,-16.104584,10.039,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,STAR,1,1,NA,6250,3.91,0.012,2.17,1.44
212803289,208.773743,-5.442466,11.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,STAR,1,1,325.5,NA,NA,NA,NA,NA
212818294,209.705811,-4.963443,16.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,STAR,1,1,11580,NA,NA,NA,NA,NA
212818294,209.705811,-4.963443,16.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,STAR,1,1,NA,8119,3.24,-2.237,3.54,0.81
212825240,208.062469,-4.734172,18.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,STAR,1,1,NA,NA,NA,NA,NA,NA
212826411,208.195816,-4.693644,17.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,STAR,1,1,NA,NA,NA,NA,NA,NA
212826702,208.905365,-4.683965,16.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,STAR,1,1,NA,NA,NA,NA,NA,NA
212866280,204.256317,-3.292278,18.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STAR,1,1,NA,NA,NA,NA,NA,NA
