EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7
201378954,166.692119,-1.278562,16.743,0,0,0,0,0,0,0
210413542,56.170812,13.772507,16.743,0,0,0,0,1,0,0
201383064,166.774283,-1.216601,16.741,0,0,0,0,0,0,0
201280613,169.539554,-2.743974,16.74,0,0,0,0,0,0,0
201245198,171.001995,-3.282359,16.74,0,0,0,0,0,0,0
210310724,58.657684,11.04377,16.74,0,0,0,0,1,0,0
228683400,127.323998,11.566686,16.74,0,0,0,0,0,0,1
201382752,167.611085,-1.220904,16.739,0,0,0,0,0,0,0
201183965,175.141505,-4.482253,16.739,0,0,0,0,0,0,0
211352643,130.968266,10.862802,16.739,0,0,0,0,0,0,1
205979931,341.170821,-15.42314,16.738,0,1,0,0,0,0,0
211496918,124.724663,13.096219,16.738,0,0,0,0,0,0,1
201151239,172.850978,-5.266396,16.737,0,0,0,0,0,0,0
201184230,170.478058,-4.476267,16.735,0,0,0,0,0,0,0
201164502,175.391515,-4.949614,16.735,0,0,0,0,0,0,0
211485413,123.797116,12.927729,16.735,0,0,0,0,0,0,1
211396061,126.070728,11.581258,16.734,0,0,0,0,0,0,1
201174765,170.3526,-4.702724,16.733,0,0,0,0,0,0,0
201161117,172.317512,-5.030074,16.733,0,0,0,0,0,0,0
201280630,170.150576,-2.743675,16.731,0,0,0,0,0,0,0
201922354,176.868598,7.805958,16.731,0,0,0,0,0,0,0
211537448,123.712834,13.665947,16.731,0,0,0,0,0,0,1
211321118,127.119407,10.275563,16.731,0,0,0,0,0,0,1
201180199,172.66765,-4.572449,16.73,0,0,0,0,0,0,0
201217557,173.172288,-3.703062,16.73,0,0,0,0,0,0,0
205962294,339.409783,-15.970775,16.73,0,1,0,0,0,0,0
211352701,127.5016,10.863765,16.73,0,0,0,0,0,0,1
201912503,177.900876,7.587282,16.729,0,0,0,0,0,0,0
210411271,57.676486,13.722293,16.729,0,0,0,0,1,0,0
210424731,60.787878,14.017208,16.729,0,0,0,0,1,0,0
201171551,172.363115,-4.779588,16.726,0,0,0,0,0,0,0
210416824,64.375117,13.845682,16.725,0,0,0,0,1,0,0
201296996,169.442115,-2.495616,16.724,0,0,0,0,0,0,0
