EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,fullname,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_k2flag,ra.x,dec.x,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_insol,pl_bmasse,pl_msinie,pl_rade,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_locale,pl_facility,pl_telescope,rowupdate,epic_host,k2_campaign_str,k2_name,k2_kepmag,tm_designation,ra.y,dec.y
211359660,130.18033,10.982941,11.742,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-182 b,K2-182,b,Transit,1,4.736837,0.0529,NA,1,130.180328,10.982941,155.9,11.997,V (Johnson),11.72,5165,0.88,0.8,0,885,NA,NA,NA,2.76,NA,NA,0.3,2018,3,155.51,NA,4.58,0.09,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211359660,5,K2-182 b,11.742,2MASS J08404327+1058585,130.180328,10.982941
211359660,130.180327,10.982941,11.742,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-182 b,K2-182,b,Transit,1,4.736837,0.0529,NA,1,130.180328,10.982941,155.9,11.997,V (Johnson),11.72,5165,0.88,0.8,0,885,NA,NA,NA,2.76,NA,NA,0.3,2018,3,155.51,NA,4.58,0.09,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211359660,5,K2-182 b,11.742,2MASS J08404327+1058585,130.180328,10.982941
211391664,126.488289,11.511145,12.102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-98 b,K2-98,b,Transit,1,10.136448,0.0974,NA,1,126.488289,11.511145,526.31,12.166,V (Johnson),12.04,6172,1.2,1.57,0,1092,NA,NA,NA,5.2,NA,NA,0.33,2016,3,526.34,F8 V,4.13,-0.06,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211391664,5,K2-98 b,12.102,2MASS J08255719+1130402,126.488289,11.511145
211391664,126.48829,11.511145,12.102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-98 b,K2-98,b,Transit,1,10.136448,0.0974,NA,1,126.488289,11.511145,526.31,12.166,V (Johnson),12.04,6172,1.2,1.57,0,1092,NA,NA,NA,5.2,NA,NA,0.33,2016,3,526.34,F8 V,4.13,-0.06,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211391664,5,K2-98 b,12.102,2MASS J08255719+1130402,126.488289,11.511145
211418729,127.882965,11.922265,14.286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-114 b,K2-114,b,Transit,1,11.391013,0.0954,NA,1,127.882965,11.922265,484.8,14.556,V (Johnson),14.275,5044,0.89,0.84,0,661,NA,NA,NA,10.67,NA,NA,0.44,2017,3,482.29,NA,4.54,0.39,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211418729,5,K2-114 b,14.286,2MASS J08313191+1155202,127.882965,11.922265
211418729,127.882962,11.922265,14.286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-114 b,K2-114,b,Transit,1,11.391013,0.0954,NA,1,127.882965,11.922265,484.8,14.556,V (Johnson),14.275,5044,0.89,0.84,0,661,NA,NA,NA,10.67,NA,NA,0.44,2017,3,482.29,NA,4.54,0.39,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211418729,5,K2-114 b,14.286,2MASS J08313191+1155202,127.882965,11.922265
211442297,126.553444,12.281936,13.192,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-115 b,K2-115,b,Transit,1,20.272615,0.143,NA,1,126.553444,12.281936,418.58,13.362,V (Johnson),13.2,5657,0.95,0.88,0,619,NA,NA,NA,12.06,NA,NA,0.6,2017,3,418.57,G4,4.53,-0.1,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211442297,5,K2-115 b,13.192,2MASS J08261282+1216550,126.553444,12.281936
212357477,202.016632,-15.93782,10.215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-277 b,K2-277,b,Transit,1,6.326763,0.0675,NA,1,202.016632,-15.93782,113.53,10.364,V (Johnson),10.121,5741,1.02,0.97,0,958,NA,NA,NA,2.07,NA,NA,0.41,2018,3,113.49,NA,4.48,0.11,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 212357477,6,K2-277 b,10.215,2MASS J13280398-1556162,202.016632,-15.93782
212803289,208.773743,-5.442466,11.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,K2-99 b,K2-99,b,Transit,1,18.251985,0.1597,NA,1,208.773743,-5.442466,522.29,11.149,V (Johnson),10.948,6217,1.63,2.63,0,1113,NA,NA,NA,11.73,NA,NA,0.39,2016,3,526.77,G0 IV,3.81,0.21,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 212803289,6,K2-99 b,11.014,2MASS J13550570-0526330,208.773743,-5.442466
213715787,293.833191,-28.497833,13.355,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-147 b,K2-147,b,Transit,1,0.961917,0.0159,NA,1,293.833191,-28.497833,88,14.019,V (Johnson),13.191,3672,0.58,0.55,0,NA,200.1,NA,NA,1.38,NA,NA,NA,2018,3,90.79,NA,4.72,0.19,NA,Space,K2,0.95 m Kepler Telescope,2018-02-01,EPIC 213715787,7,K2-147 b,13.355,2MASS J19351996-2829523,293.833191,-28.497833
220186645,17.382523,-0.51762,12.961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-204 b,K2-204,b,Transit,1,7.055784,NA,NA,1,17.382523,-0.51762,586.87,13.01,V (Johnson),12.889,5755,1.01,1.18,0,NA,NA,NA,NA,3.046,NA,NA,NA,2018,3,586.87,NA,4.23,0.07,NA,Space,K2,0.95 m Kepler Telescope,2018-02-15,EPIC 220186645,8,K2-204 b,12.961,2MASS J01093180-0031031,17.382523,-0.51762
