EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,epic_name,tm_name,epic_candname,pl_name,k2c_disp,ra,dec,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_rade,st_teff,st_logg
211399359,128.06714,11.630727,14.424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211399359,2MASS J08321610+1137504,EPIC 211399359.01,NA,CANDIDATE,128.067139,11.630727,3.11491262,2457144.531723,2.698,0.0989583,NA,NA,NA,NA,NA
211399359,128.06714,11.630727,14.424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211399359,2MASS J08321610+1137504,EPIC 211399359.01,NA,CANDIDATE,128.067139,11.630727,3.114878,2457144.53308,NA,0.0983,0.1,NA,12.5,NA,NA
211401787,126.89696000000001,11.667474,9.709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211401787,2MASS J08273526+1140030,EPIC 211401787.01,NA,CANDIDATE,126.896957,11.667474,13.773,2457151.069,0.0245,0.17963,0.146,NA,NA,NA,NA
211401787,126.89696000000001,11.667474,9.709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211401787,2MASS J08273526+1140030,EPIC 211401787.01,NA,CANDIDATE,126.896957,11.667474,13.773826,2457151.06849,NA,NA,NA,88.634,3.295,6114,4.01
211401787,126.89696000000001,11.667474,9.709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211401787,2MASS J08273526+1140030,EPIC 211401787.01,NA,CANDIDATE,126.896957,11.667474,13.772626,2457151.06946,NA,0.1892,0.43,NA,2.2,NA,NA
211401787,126.896955,11.667474,9.709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211401787,2MASS J08273526+1140030,EPIC 211401787.01,NA,CANDIDATE,126.896957,11.667474,13.773,2457151.069,0.0245,0.17963,0.146,NA,NA,NA,NA
211401787,126.896955,11.667474,9.709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211401787,2MASS J08273526+1140030,EPIC 211401787.01,NA,CANDIDATE,126.896957,11.667474,13.773826,2457151.06849,NA,NA,NA,88.634,3.295,6114,4.01
211401787,126.896955,11.667474,9.709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211401787,2MASS J08273526+1140030,EPIC 211401787.01,NA,CANDIDATE,126.896957,11.667474,13.772626,2457151.06946,NA,0.1892,0.43,NA,2.2,NA,NA
211413463,128.91489,11.843622,17.303,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211413463,2MASS J08353957+1150370,EPIC 211413463.01,NA,CANDIDATE,128.914886,11.843622,3.25182,2457143.93758,NA,0.1133,1.37,NA,33.2,NA,NA
211413463,128.914889,11.843622,17.303,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211413463,2MASS J08353957+1150370,EPIC 211413463.01,NA,CANDIDATE,128.914886,11.843622,3.25182,2457143.93758,NA,0.1133,1.37,NA,33.2,NA,NA
211418290,129.302304,11.915721,11.504,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211418290,2MASS J08371255+1154567,EPIC 211418290.01,NA,CANDIDATE,129.302307,11.915721,5.03207,2457141.80704,NA,NA,NA,88.411,36.71,5070,3.25
